TS1	TS2	TS3	TS4	TS5
-3.837643645	-0.752211385	0.331683538	3.112554826	5.553020569
-3.927881481	-0.924116056	-0.903497622	3.239381459	6.225058543
-3.990540615	1.850777377	-1.584597238	2.971596037	5.442647947
-4.73951194	1.95990888	-1.777158884	3.715931864	4.858712173
-3.669811558	-0.013603153	-1.811634392	2.877296379	3.148103273
-4.762312854	0.007581564	-2.200276884	2.286665388	4.450210326
-2.371897353	-1.352797499	-2.562146909	1.614453456	3.437597587
-2.014740773	-1.13857247	-2.386832373	2.223103655	4.915583027
-2.115112157	-0.471652244	-4.251936306	2.70852247	4.622031134
-1.000458437	-1.298667572	-3.696082989	4.470378804	3.152827936
-0.70952309	-0.009236504	-3.349574396	6.579282926	2.843219162
-0.738830847	0.699049538	-2.991612483	7.289179897	1.887651044
-0.740387115	-0.992825977	0.752636511	9.0756692	0.580715195
-0.182511971	-1.64581043	2.785666272	9.694261919	1.894865736
-0.360589814	0.233568685	2.811608277	9.619465685	1.007275839
0.779142364	-0.698593562	0.862332876	9.087386523	-0.116966892
0.816797204	-1.130521885	-0.119089399	9.170974119	-0.419957926
1.052404115	0.904366711	1.494953128	7.364469802	-1.418099812
0.024029166	1.55875306	3.492240664	6.216042437	-2.683453147
-0.064013176	0.18586832	3.333689334	4.510508303	-3.77377546
-0.268283697	-1.607495122	2.206355341	4.594488599	-2.363660365
-0.328806301	-2.127788016	1.286713459	4.912038618	-2.807669002
0.876617032	1.041934564	0.195015581	2.928610028	-2.281441977
1.253940192	3.353973794	0.232788602	3.631297955	-1.878389698
1.882947708	3.107959861	1.248044927	5.059545899	-0.455189081
0.877099384	0.811433346	2.279730406	6.093630834	-0.028835953
-0.183995439	-1.008567788	0.584380255	8.15260609	1.895491972
0.824121194	-0.118910315	-1.625097203	7.256350709	1.179684428
2.721461769	-1.794375693	-3.813886465	8.06932862	0.352014172
3.139267496	-1.746490556	-4.421840589	6.557909348	-0.348498543
2.729143329	2.016805297	-4.092095537	5.561997572	-0.932220643
2.88670138	0.866380139	-3.129267984	5.986371231	-0.734947614
2.993914156	-0.989974828	-0.824268128	5.59255626	0.04613771
3.048351455	0.769507031	-0.125103202	6.532092763	-1.068316139
3.579852871	2.130276655	-0.961920597	5.215205101	0.13293242
2.618612629	0.713805842	-2.266152673	4.757618248	0.016671933
2.239978751	-1.585212582	-3.682895682	4.559266374	0.334001357
2.236184395	-0.498451212	-5.24321258	5.053299369	-0.127275388
0.734064579	2.156395251	-5.280971839	5.618698028	0.951551426
2.596122614	0.15522969	-5.710392744	6.766481805	2.681730465
0.111173056	-2.101046474	-5.233910614	4.907981733	2.370127157
1.262501939	-0.610420448	-4.879388175	4.262461755	2.233310563
1.82100297	-1.261686208	-3.941244691	4.342052238	1.417911381
1.667658206	-2.487234561	-1.03420574	5.743686261	1.754059196
1.879372172	-0.473942851	1.663319186	5.346810342	0.535745073
1.380704975	-1.113710804	1.888926578	5.493565012	1.192485705
2.183695129	0.641222982	1.063108899	5.316280306	2.109538196
1.131573277	1.452048696	1.152676096	5.800602893	1.370732244
1.330683057	-0.715637204	1.71522548	5.260768651	0.229883434
1.129466401	0.58617604	-0.259557832	6.893237042	0.017312501
1.294747982	0.378165167	-0.491312714	7.376789618	0.743639101
2.793408155	0.559746409	0.302633068	7.062128682	1.328695689
2.215902237	-0.07645172	1.778220823	6.394404371	0.47712509
3.210289383	-1.128286513	1.863527262	5.425373534	1.577247302
2.297702997	-0.326435105	-0.778991062	4.549187133	-0.938004501
1.669604624	0.189910963	-1.574901531	4.492398482	-1.604002495
1.296774516	-0.561048464	-0.456081017	4.039497189	-2.648671363
1.000642836	0.85539807	1.77135317	3.542604346	-2.784231934
-0.189222846	-0.434791427	1.839272729	4.336554107	-2.687405645
-0.792219588	-1.661620407	0.77730029	3.535402342	-2.870137084
-0.889613596	1.548228862	-0.124782766	3.958143577	-2.463847774
-2.239093838	1.851817938	1.362749197	1.87206735	-2.99156024
-1.970193818	0.37431169	2.43361422	0.263047762	-3.61756283
-0.729948604	-0.662417153	2.190315025	1.241314046	-3.720619838
-0.882184207	0.6504815	1.689633042	0.637403772	-2.90975338
-2.066766937	0.249709439	-0.652022896	0.998608974	-2.582242396
-1.752946839	1.04783771	-1.687680524	0.388312157	-2.408759731
-1.196925816	1.101956071	-1.375258249	1.277622654	-2.965476651
-1.639039356	-1.560878364	-1.755398179	0.726333248	-2.276933047
-1.778930126	0.867372648	-1.630389624	0.270733558	-0.572983361
-1.506588974	-0.826680757	-0.598999883	0.422539421	-1.896232929
-1.161209877	-2.091374242	-0.187641477	0.791571353	-1.131081875
-1.835406633	1.739524867	0.244931076	-0.246558007	-0.302620755
-1.668673351	0.637482999	-0.016848436	-0.001027316	-0.005286471
-0.920834304	-2.293538332	-2.25594667	-1.222758032	0.849133266
-1.989692875	-0.227637325	-1.98578317	-1.824553056	1.627153906
-3.004933072	0.011792293	0.975579659	-1.314678819	2.160649259
-3.08643376	-0.239276832	3.02344237	-0.383305683	0.411517904
-3.626872234	0.144318679	3.422652851	0.366955199	1.413085112
-4.78877625	0.358677265	2.811340482	-0.850294761	1.189839518
-3.675844853	0.951659502	2.010610951	1.098316035	0.799569305
-4.862988158	0.061538915	-0.403781421	2.658396351	0.412352456
